Date,Open,High,Low,Close,Volume,Symbol,SMA 5,SMA 10,SMA 20,SMA 50,SMA 100,SMA 200,RSI 14,MACD 12-26,Price Change %,P/E Ratio
2021-06-29,343.9800109863281,344.7300109863281,342.6099853515625,342.8599853515625,2375800,DIA,,,,,,,,,,20.36267
2021-06-30,342.3800048828125,345.510009765625,342.3500061035156,344.95001220703125,3778900,DIA,,,,,,,,,0.6095861123384338,20.36267
2021-07-01,345.7799987792969,346.3999938964844,344.9200134277344,346.3599853515625,3606900,DIA,,,,,,,,,0.4087470922265135,20.36267
2021-07-02,347.0400085449219,348.2900085449219,346.17999267578125,347.94000244140625,3013500,DIA,,,,,,,,,0.45617772163837333,20.36267
2021-07-06,347.75,348.1099853515625,343.6000061035156,345.82000732421875,3910600,DIA,345.58599853515625,,,,,,,,-0.6092990464769854,20.36267
2021-07-07,345.6499938964844,347.1400146484375,344.42999267578125,346.9200134277344,3347000,DIA,346.39800415039065,,,,,,,,0.31808631086065464,20.36267
2021-07-08,342.55999755859375,345.0,341.5299987792969,344.3800048828125,6379900,DIA,346.28400268554685,,,,,,,,-0.7321597044302464,20.36267
2021-07-09,346.57000732421875,349.07000732421875,345.8399963378906,348.7300109863281,5063100,DIA,346.7580078125,,,,,,,,1.2631413095530508,20.36267
2021-07-12,348.010009765625,350.2900085449219,347.3699951171875,350.0299987792969,3999800,DIA,347.17600708007814,,,,,,,,0.37277772259747266,20.36267
2021-07-13,349.5299987792969,350.25,348.8500061035156,349.0,3310200,DIA,347.8120056152344,346.6990020751953,,,,,,,-0.2942601442416093,20.36267
2021-07-14,350.19000244140625,350.69000244140625,348.3599853515625,349.4100036621094,3933300,DIA,348.31000366210935,347.35400390625,,,,,,,0.11747955934366949,20.36267
2021-07-15,347.8999938964844,350.0,347.6400146484375,349.94000244140625,5082600,DIA,349.4220031738281,347.8530029296875,,,,,,,0.15168391681463778,20.36267
2021-07-16,350.7200012207031,350.739990234375,346.3399963378906,346.739990234375,5710400,DIA,349.0239990234375,347.89100341796876,,,,,,,-0.9144459577944519,20.36267
2021-07-19,341.7900085449219,350.0299987792969,337.3800048828125,339.8800048828125,9715300,DIA,346.99400024414064,347.0850036621094,,,,,,,-1.978423471410251,20.36267
2021-07-20,340.2900085449219,346.1199951171875,339.75,345.0799865722656,5802200,DIA,346.2099975585937,347.01100158691406,,,,,53.29181663750966,,1.5299463383396272,20.36267
2021-07-21,346.9700012207031,348.1499938964844,346.3699951171875,347.989990234375,3056800,DIA,345.9259948730469,347.1179992675781,,,,,57.26362527502283,,0.8432838110998375,20.36267
2021-07-22,347.7699890136719,348.80999755859375,346.67999267578125,348.260009765625,2429300,DIA,345.5899963378906,347.50599975585936,,,,,57.62370991748057,,0.07759405121627871,20.36267
2021-07-23,350.0,350.989990234375,349.2099914550781,350.57000732421875,4142300,DIA,346.3559997558594,347.68999938964845,,,,,60.67625976301309,,0.6632968166940367,20.36267
2021-07-26,350.0,351.45001220703125,349.489990234375,351.4100036621094,2466600,DIA,348.66199951171876,347.8279998779297,,,,,61.755116381804534,,0.239608728739249,20.36267
2021-07-27,350.0199890136719,350.67999267578125,348.7300109863281,350.6199951171875,3902600,DIA,349.77000122070314,347.98999938964846,347.34450073242186,,,,60.08549635902051,,-0.22481105736577023,20.36267
2021-07-28,351.0199890136719,351.2300109863281,348.7099914550781,349.3599853515625,3697700,DIA,350.04400024414065,347.98499755859376,347.66950073242185,,,,57.41908134882784,,-0.3593662036313283,20.36267
2021-07-29,350.95001220703125,351.7099914550781,350.3800048828125,350.82000732421875,2425700,DIA,350.5559997558594,348.072998046875,347.96300048828124,,,,59.653351682695885,,0.4179133369229593,20.36267
2021-07-30,349.8800048828125,351.010009765625,348.6700134277344,349.4800109863281,3576700,DIA,350.33800048828124,348.3470001220703,348.1190017700195,,,,56.712144194719315,,-0.381961208002668,20.36267
2021-08-02,350.45001220703125,351.9100036621094,348.05999755859375,348.3500061035156,2827100,DIA,349.7260009765625,349.1940002441406,348.139501953125,,,,54.2815929124266,,-0.32333891704515727,20.36267
2021-08-03,349.0899963378906,351.19000244140625,347.1099853515625,351.0899963378906,3819300,DIA,349.82000122070315,349.7950012207031,348.4030014038086,,,,58.8831225621466,,0.786562418936998,20.36267
2021-08-04,349.5899963378906,350.0799865722656,347.8800048828125,347.989990234375,3118500,DIA,349.54600219726564,349.7950012207031,348.4565002441406,,,,52.450883730451025,,-0.8829662296991669,20.36267
2021-08-05,348.8500061035156,350.6499938964844,348.6700134277344,350.6099853515625,2261400,DIA,349.5039978027344,350.0299987792969,348.76799926757815,,,,56.750908294843526,,0.752893816118938,20.36267
2021-08-06,351.6199951171875,352.489990234375,351.4599914550781,352.0899963378906,2123700,DIA,350.0259948730469,350.18199768066404,348.9359985351563,,,,59.00616595266459,,0.42212459660671,20.36267
