Date,Open,High,Low,Close,Volume,actual_returns,sma_fast,sma_slow,ssma,ema,dema,tema,trima,signal
2023-01-04,383.1799926757813,385.8800048828125,380.0,383.760009765625,85934100,0.007720189025948843,382.6125030517578,388.7018011474609,385.4463507275943,387.7591806190906,380.6566918123145,381.7295127088918,394.40086364746094,1.0
2023-01-05,381.7200012207031,381.8399963378906,378.760009765625,379.3800048828125,76970500,-0.011413395797773451,381.5975036621094,388.2246011352539,384.77231216621124,387.4288358029783,379.8252163695627,380.5944307894744,393.69194407521945,-1.0
2023-01-06,382.6099853515625,389.25,379.4100036621094,388.0799865722656,104189600,0.022932103899730993,383.01000213623047,387.8168011474609,385.13983160969667,387.45450173725425,382.40725703493524,384.1571744783308,392.97265408362875,1.0
2023-01-09,390.3699951171875,393.7000122070313,387.6700134277344,387.8599853515625,73978100,-0.0005668965891446609,384.7699966430664,387.3984008789063,385.4420709618891,387.4704811835058,384.2074718028136,386.33790846728,392.2177157931858,-1.0
2023-01-10,387.25,390.6499938964844,386.2699890136719,390.5799865722656,65358100,0.007012843096556365,386.47499084472656,387.0377008056641,386.01295055397225,387.5929981002654,386.48491023565884,389.00827483455345,391.4074997136622,1.0
2023-01-11,392.2300109863281,395.6000061035156,391.3800048828125,395.5199890136719,68881100,0.01264786371867066,390.5099868774414,386.7140005493164,387.06928829188973,387.90526987440376,389.8846747650503,393.0304292938904,390.5693823731976,1.0
2023-01-12,396.6700134277344,398.489990234375,392.4200134277344,396.9599914550781,90157700,0.003640782972808232,392.72998809814453,386.46220031738284,388.1682554314282,388.2619034783806,392.804337512712,396.1520719242572,389.7736415156612,1.0
2023-01-13,393.6199951171875,399.1000061035156,393.3399963378906,398.5,63903900,0.0038795056884117773,395.3899917602539,386.31370025634766,389.31622716288746,388.6650771957031,395.3935509050819,398.6930282533017,389.05984515908324,1.0
2023-01-17,398.4800109863281,400.2300109863281,397.05999755859375,397.7699890136719,62677300,-0.0018318970798698597,397.18749237060547,386.1679000854492,390.25553411718664,389.0235675622072,396.91210148491723,399.72326086924403,388.4621907928843,-1.0
2023-01-18,399.010009765625,400.1199951171875,391.2799987792969,391.489990234375,99632300,-0.015788015568668268,396.17999267578125,385.94609985351565,390.3926959186276,389.1206634432743,395.65748979661504,397.07291739162827,387.96586354573566,-1.0
