Date,sma_fast,sma_slow,ssma,ema,dema,tema,trima,signal
2022-11-21,184.51499938964844,180.26070022583008,181.41436237660628,179.01908857158978,184.85758109222334,184.4805477344541,176.5171608630522,0.0
2022-11-22,183.31749725341797,180.39470016479493,181.563878076996,179.16841715529165,184.3729959521634,183.7487689768423,177.0731485625844,0.0
2022-11-23,183.43249893188477,180.5277001953125,181.91345004379744,179.38946979977462,184.70034579934057,184.20289640200554,177.61623505015433,0.0
2022-11-25,184.09500122070312,180.651300201416,182.27751338226227,179.62069575818592,185.08303460002742,184.7064686504477,178.1434881893205,0.0
2022-11-28,184.56000137329102,180.791600189209,182.64445830010482,179.85809723779056,185.47263392639013,185.19285474766735,178.6510499553916,0.0
2022-11-29,184.3300018310547,180.85390014648436,182.55507325722826,179.9370013207936,184.37987023381694,183.64807211162335,179.12280923348888,0.0
2022-11-30,183.74499893188477,180.92170013427733,182.53450894165178,180.0338067874163,183.76970607530845,182.9043253859222,179.58222278547876,0.0
2022-12-01,184.28999710083008,181.07480010986328,183.0717869900495,180.32553645823367,185.12321257561533,184.88026453244737,180.04916716210636,0.0
2022-12-02,184.6349983215332,181.22970016479493,183.5038126951368,180.5892166584448,185.93173221225692,185.94302867805328,180.50784000349634,0.0
2022-12-05,186.1875,181.39700012207032,184.00894629907253,180.8855813788546,186.88271444141284,187.1252093361253,180.95518564294886,0.0
2022-12-06,186.3125,181.53010009765626,183.88239586887937,180.9643682512194,185.6732317559961,185.30658034399104,181.3875621277609,0.0
2022-12-07,184.4875030517578,181.59990020751954,183.4587962524414,180.92887686733712,183.7790377662997,182.74391054826765,181.81259291849017,0.0
2022-12-08,182.63249969482422,181.6693000793457,183.0233728881184,180.87378685965487,182.22758734150707,180.86196675600198,182.1787039203408,0.0
2022-12-09,180.82999801635742,181.69080001831054,182.78077509125433,180.8724471619454,181.5951564060689,180.3516279240305,182.4868211157528,0.0
2022-12-12,179.76749801635742,181.6620999145508,182.3184655236222,180.78318238360808,180.3609937652043,179.01797124996946,182.73385808497298,0.0
2022-12-13,179.92999649047852,181.64509994506835,182.14085814608666,180.78067954828484,180.25749192640433,179.27557577307874,182.90265429461442,0.0
2022-12-14,180.38999938964844,181.66380004882814,182.0563187961276,180.80441155736133,180.44735243970538,179.84835000566844,183.0269443370678,0.0
2022-12-15,180.22750091552734,181.66130004882814,181.84895009753703,180.78009155741378,180.1777683870342,179.70101325067955,183.1158949298623,0.0
2022-12-16,179.49250030517578,181.6247999572754,181.16350975309192,180.5782897123715,178.3821204398698,177.46029077796686,183.1629010424202,0.0
2022-12-19,177.90499877929688,181.53439987182617,180.40867417595422,180.3327251035674,176.65322152202813,175.45911251153677,183.1725615042227,0.0
2022-12-20,175.56249618530273,181.39519989013672,179.4754868673705,180.00363693231373,174.60579693868922,173.13134924392497,183.12567868644808,0.0
2022-12-21,173.7449951171875,181.25189987182617,178.747098763335,179.7236346120523,173.51921442643967,172.2198130191297,183.03466005678533,0.0
2022-12-22,173.79999542236328,181.13909988403321,178.43075359634628,179.57254080234398,173.87263143021647,173.23858279762305,182.90682041497877,0.0
2022-12-23,173.6074981689453,181.00509994506837,177.89400360075575,179.33660274218448,173.35191720581466,172.8942960792802,182.7589190918722,0.0
2022-12-27,174.20249938964844,180.85149993896485,177.5046696227512,179.14124920265712,173.3129812411139,173.1622879695936,182.5713264559522,0.0
2022-12-28,174.2775001525879,180.6901998901367,177.0285951637206,178.90746925256332,172.90994360882627,172.85140051398557,182.30589435718676,0.0
2022-12-29,172.93500137329102,180.4874998474121,176.30652863974908,178.5768017790935,171.6960009497306,171.41596603977112,181.96419675850575,0.0
2022-12-30,173.24750137329102,180.3077998352051,176.14469275078326,178.42973883041842,172.4276401978117,172.68808545098508,181.55533868295174,0.0
2023-01-03,173.2400016784668,180.14949981689452,175.94639356786064,178.26918241931685,172.8163819752726,173.33346190482717,181.10999915040568,0.0
2023-01-04,173.2849998474121,179.9272998046875,175.66346019975433,178.07713191203288,172.78131904125843,173.31871795594725,180.62728302567092,0.0
2023-01-05,174.54249954223633,179.71939971923828,175.65196434816187,177.97787357551448,173.56122707605797,174.39090030431632,180.15030769065572,0.0
2023-01-06,174.24999618530273,179.45259963989258,175.43285634094482,177.80843176880452,173.46351727981846,174.1705509416176,179.66993727507415,0.0
2023-01-09,175.05499649047852,179.21769958496094,175.671428104285,177.79942791279225,174.8136453219623,175.93254355322026,179.20546194947798,0.0
2023-01-10,176.17499923706055,178.9865995788574,175.91682556272116,177.8026033194329,175.8963826279308,177.18822566391347,178.75330145565079,0.0
2023-01-11,177.41249847412112,178.81559951782228,176.42717773897905,177.90927662572196,177.6154756585944,179.22785385702892,178.30731375423477,0.0
2023-01-12,179.68249893188477,178.65399948120117,177.13082413396955,178.10036329342816,179.64147595214874,181.5550822218337,177.87651118525753,0.0
2023-01-13,181.74499893188477,178.56579956054688,178.09739954042635,178.40480654157787,182.16805951892982,184.4313329971028,177.50185064621914,0.0
2023-01-17,184.0374984741211,178.52989959716797,179.0921333615889,178.74525224910101,184.37075113360774,186.7172202997762,177.19222099398388,0.0
2023-01-18,185.6150016784668,178.48859970092772,179.95078609905298,179.0631819516817,185.80484538181352,187.88505310322927,176.9674988263919,0.0
2023-01-19,185.87500381469727,178.40249969482423,180.3784769047598,179.24965680992852,185.67607064027547,186.96502329970443,176.81422730434087,0.0
2023-01-20,184.9275016784668,178.2688996887207,180.56308984875582,179.35948760588474,184.88500858652537,185.34716765399,176.7097829653893,0.0
