Date,sma_fast,sma_slow,ssma,ema,dema,tema,trima,signal
2022-11-21,336.4375,317.084599609375,329.222627579892,319.5808192877431,338.64213655392507,337.84565715298294,316.01549360487195,0.0
2022-11-22,336.64749908447266,317.3768994140625,330.0923401990912,320.27814935604454,338.8036212699972,337.8157110538066,317.5668205920561,0.0
2022-11-23,337.8699951171875,317.6779992675781,331.2998643224041,321.1031429504719,340.2444274676956,339.59721209226393,319.10219084186315,0.0
2022-11-25,339.3324966430664,318.00039947509765,332.4832204612687,321.934159276305,341.5515734643818,341.11348891258814,320.60030817102506,0.0
2022-11-28,340.8699951171875,318.3314993286133,333.7095339495686,322.7940761618423,342.9692761023455,342.7289510431923,322.07209824927054,0.0
2022-11-29,341.22999572753906,318.5768991088867,334.2406980195401,323.4189675635919,342.0878347463948,341.17600579662366,323.49728337040654,0.0
2022-11-30,340.61000061035156,318.82709930419924,334.71173457554363,324.01822570330603,341.3762059688175,340.06750381248156,324.88768466902366,0.0
2022-12-01,341.65999603271484,319.1715991210938,335.9826565515208,324.89831399430597,343.56610959963547,343.0359247339696,326.2730550883728,0.0
2022-12-02,341.8824996948242,319.5159991455078,336.919031251532,325.67378604253696,344.4446068108071,344.0135382885384,327.62268471423494,0.0
2022-12-05,343.4449996948242,319.8858990478516,337.7880290029094,326.43115262250694,345.124256066015,344.7025480818723,328.9107710284951,0.0
2022-12-06,343.8324966430664,320.2221990966797,338.03713734415754,326.9710655125294,343.8482640322129,342.74724459430087,330.128394421236,0.0
2022-12-07,341.40999603271484,320.4601989746094,337.86189854416256,327.34761943286566,341.59369588373045,339.6861394476562,331.2923141291112,0.0
2022-12-08,339.41749572753906,320.7180990600586,337.70390979348974,327.70826841494664,339.9382280466444,337.71253777673303,332.3450609371986,0.0
2022-12-09,337.84749603271484,320.9215991210938,337.7879190063447,328.1345435352348,339.46599565163535,337.48424259639756,333.3001224847487,0.0
2022-12-12,336.6824951171875,321.08789916992185,337.51926040033067,328.4212848148712,338.0111280693193,335.8974990347015,334.1569742273402,0.0
2022-12-13,337.72249603271484,321.28999908447264,337.86378693150726,328.9045200330726,338.8643674985676,337.52458979460283,334.9258939013069,0.0
2022-12-14,339.0649948120117,321.51749908447266,338.3022552897551,329.41554950592774,339.90906671693807,339.2174307221009,335.63478267340014,0.0
2022-12-15,339.50499725341797,321.72009918212893,338.5153383916215,329.843219373306,340.0813127687166,339.5557416632451,336.29141828748914,0.0
2022-12-16,338.8624954223633,321.87269897460936,337.8802988516906,329.9602134426955,337.525892945941,336.16025503096625,336.87567732069226,0.0
2022-12-19,335.9499969482422,321.94229888916016,336.89026497155317,329.92104631343017,334.3225928872292,332.1595642219418,337.37737471969035,0.0
2022-12-20,332.3424987792969,321.963798828125,335.8335686376311,329.8205712748881,331.48597850135366,328.9343608454144,337.77388697494695,0.0
2022-12-21,329.3824996948242,321.960998840332,335.0053943517103,329.76362851626556,329.8663063496545,327.52775193153525,338.0872509803301,0.0
2022-12-22,329.58250427246094,322.016598815918,334.8492400121791,329.91522563227517,330.64946455335,329.36872932888934,338.32030647183643,0.0
2022-12-23,329.9050064086914,322.078798828125,334.33932527988196,329.9288459298036,330.06630878407964,329.08046080082033,338.4906768798828,0.0
2022-12-27,331.0425033569336,322.1164987182617,334.0716215356578,330.0078761394402,330.3020309786655,329.83894493148176,338.58799159674,0.0
2022-12-28,332.04000091552734,322.16659881591795,333.8825518573,330.10113621880464,330.6764125299915,330.6446602096841,338.5616643458237,0.0
2022-12-29,330.7825012207031,322.17259887695315,333.29226891964277,330.04070096871993,329.6157644208584,329.38121114528445,338.42388652283466,0.0
2022-12-30,331.2324981689453,322.20899871826174,333.1553498358652,330.1203843580461,330.1515158315234,330.3455695564785,338.19660262119623,0.0
2023-01-03,331.0824966430664,322.2431985473633,332.95253163797634,330.1681047223236,330.30793204835356,330.66758593310016,337.91678779507856,0.0
2023-01-04,330.7949981689453,322.2233984375,332.760028209777,330.2095936183022,330.40932588151884,330.85918405715296,337.5864791870117,0.0
2023-01-05,331.79249572753906,322.21189849853516,332.73780257689003,330.3022772626777,330.9890436299528,331.6631209561883,337.2467261420356,0.0
2023-01-06,331.0824966430664,322.12579864501953,332.34693568172366,330.2596090705641,330.2205024644552,330.55966407669314,336.87638676019355,0.0
2023-01-09,332.3199996948242,322.09489868164064,332.78394276989644,330.49691037445234,332.2302151898808,333.31150119755443,336.510090580693,0.0
2023-01-10,333.3375015258789,322.0303988647461,333.0623945664761,330.68579853636743,333.32202619335476,334.58065146980715,336.1137327029381,0.0
2023-01-11,334.5050048828125,322.0006988525391,333.5254631223159,330.9436455672448,334.797905408547,336.291226745265,335.6855230449158,0.0
2023-01-12,337.14000701904297,321.9924990844727,334.21819061322185,331.29095285190715,336.7505518899282,338.54710053444194,335.243177625868,0.0
2023-01-13,338.57000732421875,322.04209899902344,335.0828361961618,331.71274451557724,338.9270204374151,340.97885526554313,334.8433322671019,0.0
2023-01-17,340.50750732421875,322.1648989868164,335.9669665439554,332.1588093808733,340.8172825664819,342.90329562467224,334.5118510870286,0.0
2023-01-18,340.99000549316406,322.26539916992186,336.32174847694057,332.4344694590845,340.71915761040964,342.07613726730204,334.2586414666823,0.0
2023-01-19,339.2925033569336,322.29649932861327,335.94933208624104,332.4555517856542,338.3655906016851,338.37205645100266,334.0614812403549,0.0
2023-01-20,336.4500045776367,322.27129943847655,335.35829568954205,332.3836961972317,335.8010854592215,334.77204202339374,333.88577157479745,0.0
