Date,Open,High,Low,Close,Volume,actual_returns,sma_fast,sma_slow,ssma,ema,dema,tema,trima,signal
2022-11-18,337.4599914550781,338.1499938964844,335.260009765625,337.3699951171875,3659100,0.003778604554028897,336.4375,317.084599609375,329.222627579892,319.5808192877431,338.64213655392507,337.84565715298294,316.01549360487195,1.0
2022-11-21,337.6600036621094,338.6499938964844,335.5299987792969,337.04998779296875,2304100,-0.000948535224976399,336.64749908447266,317.3768994140625,330.0923401990912,320.27814935604454,338.8036212699972,337.8157110538066,317.5668205920561,-1.0
2022-11-22,338.8900146484375,341.1199951171875,338.3900146484375,340.9599914550781,4389400,0.011600664007473727,337.8699951171875,317.6779992675781,331.2998643224041,321.1031429504719,340.2444274676956,339.59721209226393,319.10219084186315,1.0
2022-11-23,340.6099853515625,342.5799865722656,339.989990234375,341.95001220703125,3108500,0.0029036273368265864,339.3324966430664,318.00039947509765,332.4832204612687,321.934159276305,341.5515734643818,341.11348891258814,320.60030817102506,1.0
2022-11-25,342.0899963378906,343.79998779296875,342.0299987792969,343.5199890136719,1498300,0.004591246529010551,340.8699951171875,318.3314993286133,333.7095339495686,322.7940761618423,342.9692761023455,342.7289510431923,322.07209824927054,1.0
2022-11-28,341.69000244140625,342.9800109863281,337.95001220703125,338.489990234375,3089800,-0.014642521367502437,341.22999572753906,318.5768991088867,334.2406980195401,323.4189675635919,342.0878347463948,341.17600579662366,323.49728337040654,-1.0
2022-11-29,337.92999267578125,339.3699951171875,336.6099853515625,338.4800109863281,2943600,-2.9481663667452196e-05,340.61000061035156,318.82709930419924,334.71173457554363,324.01822570330603,341.3762059688175,340.06750381248156,324.88768466902366,-1.0
2022-11-30,338.6499938964844,346.19000244140625,336.17999267578125,346.1499938964844,6940400,0.022660076403938856,341.65999603271484,319.1715991210938,335.9826565515208,324.89831399430597,343.56610959963547,343.0359247339696,326.2730550883728,1.0
2022-12-01,346.75,346.760009765625,341.69000244140625,344.4100036621094,5325900,-0.005026694395653619,341.8824996948242,319.5159991455078,336.919031251532,325.67378604253696,344.4446068108071,344.0135382885384,327.62268471423494,-1.0
2022-12-02,340.8599853515625,345.4100036621094,340.8599853515625,344.739990234375,3736500,0.0009581213343308193,343.4449996948242,319.8858990478516,337.7880290029094,326.43115262250694,345.124256066015,344.7025480818723,328.9107710284951,1.0
2022-12-05,342.45001220703125,343.3099975585937,339.0299987792969,340.0299987792969,3827200,-0.013662445867901774,343.8324966430664,320.2221990966797,338.03713734415754,326.9710655125294,343.8482640322129,342.74724459430087,330.128394421236,-1.0
