Date,sma_fast,sma_slow,ssma,ema,dema,tema,trima,signal
2022-11-21,396.05249786376953,390.1154010009766,387.6679054089687,383.8705772535923,397.3939723916606,397.86445298247,376.81793297661676,0.0
2022-11-22,395.07749938964844,390.28880096435546,388.4370318664518,384.29847244734293,397.2249811033056,397.07436862276893,377.79824160352166,0.0
2022-11-23,396.1899948120117,390.47540100097655,389.71070203214276,384.9208133006011,398.9230264094411,398.9979299224498,378.79876614794324,0.0
2022-11-25,398.23500061035156,390.6800012207031,391.1228553490393,385.6183818810771,400.9560611360998,401.3087744048627,379.80654389181257,0.0
2022-11-28,399.80999755859375,390.8708010864258,392.36809811361616,386.2841237697709,402.283351784777,402.5748493572798,380.8359265739535,0.0
2022-11-29,400.13999938964844,390.94000122070315,392.76164484943126,386.66735277772796,400.82348934359084,400.0739902652274,381.86552542227287,0.0
2022-11-30,398.9725036621094,391.00560119628904,393.03590879106247,387.0080491348839,399.44784059069906,398.004675407097,382.9206799165702,0.0
2022-12-01,400.2874984741211,391.2401010131836,394.6630346941331,387.8300862764152,402.88070561306296,402.6860308787783,384.0550935533312,0.0
2022-12-02,401.5500030517578,391.50560119628904,396.07603560524,388.60707769451216,405.16171510436465,405.44963327264287,385.22784047067904,0.0
2022-12-05,404.3000030517578,391.7864013671875,397.2798130320962,389.33412458355457,406.5410923304509,406.84520913140557,386.41160583496094,0.0
2022-12-06,405.38999938964844,392.0032012939453,397.53650067228955,389.74131187685435,404.80344757162743,404.00405076561964,387.60018600652245,0.0
2022-12-07,401.92749786376953,392.09020111083987,397.124664907729,389.90356485415214,401.40921336098216,399.2538505584091,388.79864266477983,0.0
2022-12-08,398.37249755859375,392.2023010253906,396.68414616953004,390.0327313598081,398.6925405469775,395.8617429279359,389.9063586011345,0.0
2022-12-09,395.70499420166016,392.2420010375977,396.6347954282108,390.2788314512576,397.8413636366573,395.25645086097046,390.92256211645804,0.0
2022-12-12,394.1274948120117,392.2271011352539,396.26203969541075,390.39776785077567,396.1669585541274,393.52163637861116,391.85092615198204,0.0
2022-12-13,395.4075012207031,392.228701171875,396.5607036992328,390.7365533096632,397.0210657443169,395.2905972964534,392.6786112844208,0.0
2022-12-14,397.61000061035156,392.2975012207031,397.1617374573484,391.1813739645341,398.7320482494725,397.9952640854333,393.46111118646314,0.0
2022-12-15,398.4000015258789,392.33580108642576,397.41043287477936,391.50668950937774,399.03139253489593,398.51568547598356,394.2120987691997,0.0
2022-12-16,397.4875030517578,392.32320098876954,396.5459400799456,391.43243243534977,395.72052088709665,394.0898520391056,394.90904320610895,0.0
2022-12-19,393.56749725341797,392.145500793457,395.07083319900954,391.10957288108756,391.0683366794408,388.2041320678906,395.53225302990575,0.0
2022-12-20,388.07999420166016,391.88500061035154,393.39851596218574,390.67108087026537,386.60900487991205,382.9998380174222,396.03262338520574,0.0
2022-12-21,383.36499786376953,391.57050079345703,391.9697919922035,390.270619489809,383.67867892481775,380.16361135884705,396.42410476119426,0.0
2022-12-22,382.51499938964844,391.3251010131836,391.3320381806304,390.11095204777,383.7261243772724,381.41484764630866,396.71614178316094,0.0
2022-12-23,381.87750244140625,391.0517010498047,390.1529223605837,389.7399734209525,381.8730414155787,379.7934119918329,396.9261417153441,0.0
2022-12-27,382.6000061035156,390.73630096435545,389.3481532509172,389.4702411072486,381.4293475912075,380.0617752663921,397.03527737841193,0.0
2022-12-28,382.81500244140625,390.40860076904295,388.4650240773406,389.15161537228073,380.66100627082085,379.7147459361016,396.95012297453707,0.0
2022-12-29,380.42250061035156,390.04050079345706,387.1533546717641,388.65855846483475,378.4924308464243,377.36893714178586,396.6743821509091,0.0
2022-12-30,381.1025009155274,389.7450009155273,386.74075984793313,388.4526292153026,379.4720450479864,379.36684156296,396.2429932017385,0.0
2023-01-03,380.9824981689453,389.45580078125,386.26178558192856,388.21502845184636,379.8941129170977,380.3171260808134,395.7043511661483,0.0
2023-01-04,380.8375015258789,389.06410095214846,385.657143400951,387.92335406867613,379.68607681711353,380.25127344950727,395.0647524609978,0.0
2023-01-05,382.6125030517578,388.7018011474609,385.4463507275943,387.7591806190906,380.6566918123145,381.7295127088918,394.40086364746094,0.0
2023-01-06,381.5975036621094,388.2246011352539,384.77231216621124,387.4288358029783,379.8252163695627,380.5944307894744,393.69194407521945,0.0
2023-01-09,383.01000213623047,387.8168011474609,385.13983160969667,387.45450173725425,382.40725703493524,384.1571744783308,392.97265408362875,0.0
2023-01-10,384.7699966430664,387.3984008789063,385.4420709618891,387.4704811835058,384.2074718028136,386.33790846728,392.2177157931858,0.0
2023-01-11,386.47499084472656,387.0377008056641,386.01295055397225,387.5929981002654,386.48491023565884,389.00827483455345,391.4074997136622,0.0
2023-01-12,390.5099868774414,386.7140005493164,387.06928829188973,387.90526987440376,389.8846747650503,393.0304292938904,390.5693823731976,0.0
2023-01-13,392.72998809814453,386.46220031738284,388.1682554314282,388.2619034783806,392.804337512712,396.1520719242572,389.7736415156612,0.0
2023-01-17,395.3899917602539,386.31370025634766,389.31622716288746,388.6650771957031,395.3935509050819,398.6930282533017,389.05984515908324,0.0
2023-01-18,397.18749237060547,386.1679000854492,390.25553411718664,389.0235675622072,396.91210148491723,399.72326086924403,388.4621907928843,0.0
2023-01-19,396.17999267578125,385.94609985351565,390.3926959186276,389.1206634432743,395.65748979661504,397.07291739162827,387.96586354573566,0.0
2023-01-20,394.0999984741211,385.63739990234376,390.1979535418422,389.1017445637189,393.6618471226745,393.7898227038378,387.5266658641674,0.0
